Nombre,Position,PAC,SHO,PAS,DRI,DEF,PHY
Paul Scholes,CM,80,90,92,84,67,84
Ian Rush,ST,89,94,74,89,46,83
Marcel Desailly,CB,85,53,68,69,93,92
Philipp Lahm,CDM,89,77,89,89,92,78
Andriy Shevchenko,ST,90,95,74,89,36,77
Patrick Vieira,CM,85,82,84,88,91,94
Steven Gerrard,CM,82,93,93,89,78,86
Robert Pirès,LM,89,86,90,91,41,67
Miroslav Klose,ST,91,90,77,85,43,83
David Trezeguet,ST,85,95,72,85,46,81
Laurent Blanc,CB,83,71,72,79,95,88
Fernando Hierro,CB,81,70,78,72,95,89
Christian Vieri,ST,85,94,76,87,41,86
Pavel Nedvěd,CAM,87,90,92,92,61,82
Gheorghe Hagi,LM,86,91,92,92,44,68
Michael Laudrup,CAM,86,81,95,94,38,65
Ferran Torres,RW,95,87,92,93,43,77
Florian Wirtz,CAM,90,88,93,94,62,76
Ryan Gravenberch,CM,91,86,90,92,85,86
Didier Drogba,ST,92,91,85,93,43,84
Dušan Vlahović,ST,90,92,73,90,40,90
Mohamed Salah,RW,93,92,85,93,49,80
Cristiano Ronaldo,ST,88,94,83,90,35,78
Victor Osimhen,ST,98,95,85,92,58,91
Deulofeu,CF,94,92,88,93,41,79
Amine Gouiri,LM,95,93,90,92,70,85
Ludovic Ajorque,ST,90,92,81,91,38,93
Thomas Lemar,CM,90,89,92,93,83,86
Ansu Fati,LW,99,93,87,95,43,82
Niklas Dorsch,CDM,87,85,88,93,90,91
Paulinho,CAM,91,89,92,94,45,78
Dejan Kulusevski,RF,94,90,86,93,60,83
Karim Benzema,CF,81,90,85,91,42,82
Erling Haaland,ST,94,95,80,87,47,93
Bruno Fernandes,CAM,80,90,94,91,75,82
Fabinho,CDM,88,84,89,90,92,90
Rick Karsdorp,RM,94,90,92,93,85,87
Danny da Costa,RWB,95,77,88,90,91,93
Niklas Süle,CB,88,49,70,75,93,92
Raphaël Varane,CB,88,54,72,76,93,90
Karim Benzema,ST,80,90,85,91,42,82
Mohamed Salah,RW,93,91,86,93,48,81
Cristiano Ronaldo,ST,88,94,84,89,35,77
Christopher Nkunku,ST,90,88,93,95,82,83
Ferran Torres,ST,93,91,85,93,43,76
Sergio Ramos,CB,83,77,80,81,92,88
Roberto Firmino,CF,90,88,91,94,76,86
Toni Kroos,CM,84,86,95,89,83,80
Kenny Dalglish,ST,90,92,77,90,41,73
David Beckham,RM,80,87,95,88,69,82
Emilio Butragueño,ST,94,90,80,92,41,68
Hugo Sánchez,ST,92,93,81,91,44,75
Alessandro Nesta,CB,72,42,65,67,94,86
Luís Figo,RW,92,88,89,92,41,80
Rivaldo,LW,87,91,88,92,44,78
Ruud van Nistelrooy,ST,86,91,74,85,37,82
Carles Puyol,CB,70,45,68,58,94,90
Samuel Eto'o,ST,95,93,81,90,47,83
Nicolás Benedetti,CAM,82,75,77,82,50,70
Nicolas De Préville,CAM,83,80,80,83,40,74
Loïs Diony,ST,85,80,72,80,30,80
Agustín Bouzat,RM,95,75,74,83,62,76
Scott Arfield,LF,73,78,78,80,68,78
Lukas Hinterseer,ST,70,81,72,75,49,81
Daniel Bocanegra,LB,79,62,75,71,80,82
Iván Marcone,CDM,55,58,73,79,75,83
Juan Fernando Quintero,CAM,73,77,81,83,37,50
Eduardo Salvio,RM,86,75,73,84,58,68
Lucas Pratto,ST,71,79,72,75,58,86
Marcelo Díaz,CDM,59,67,81,75,74,75
Odriozola,RB,89,53,71,76,77,69
Mattia Caldara,CB,64,34,46,63,83,74
Steven Nzonzi,CDM,42,55,71,69,79,86
Gabriel,CM,63,74,77,79,76,83
Ismaily,LB,82,66,74,81,75,75
Benjamin Mendy,LB,81,51,77,77,77,77
Fedor Smolov,ST,86,81,70,76,32,73
Daniel Wass,CM,73,77,81,77,76,75
Joe Gomez,CB,81,30,64,68,79,76
Marcel Halstenberg,LB,69,66,72,72,80,80
Ferland Mendy,LB,89,64,73,79,75,81
Lars Bender,RB,65,64,72,72,83,77
Keita Baldé,RM,91,76,72,83,29,69
Nicolás Benedetti,CAM,82,77,61,76,30,81
Erik Lamela,RM,75,77,79,82,51,72
Younès Belhanda,CAM,73,76,78,83,57,71
Odriozola,RB,89,53,71,76,77,69
Kieran Trippier,RB,74,60,81,76,78,72
Leandro Paredes,CM,71,67,81,79,72,74
Luis Muriel,ST,88,76,68,83,27,68
Danny Rose,LB,77,62,74,79,80,75
Kurt Zouma,CB,64,51,59,56,78,83
Hans Vanaken,CAM,48,76,81,77,65,73
Alex Oxlade-Chamberlain,CM,82,73,78,83,66,73
Sofiane Feghouli,RM,86,72,74,82,34,64
Rúben Dias,CB,64,38,50,60,81,83
Mario Hermoso,CB,79,49,72,71,79,77
Harry Winks,CM,70,58,77,83,71,66
Šime Vrsaljko,RB,77,55,74,75,79,77
Bernat,LB,82,61,78,85,74,66
Julian Weigl,CDM,61,47,75,76,78,66
Marcos Llorente,CDM,58,50,73,72,77,73
Nicolò Barella,CM,76,66,78,80,74,69
Matias Vecino,CDM,67,68,77,80,76,74
Sven Bender,CB,65,51,62,61,82,77
Francis Coquelin,CM,70,66,75,78,78,77
Mathieu Valbuena,LM,77,75,80,82,34,48
Carlos Soler,RM,77,74,81,78,62,68
Andreas Christensen,CB,68,31,63,69,82,72
Faouzi Ghoulam,LB,75,64,77,77,78,73
Taras Stepanenko,CDM,67,61,72,70,78,80
Dejan Lovren,CB,54,40,59,63,80,78
Maximiliano Gómez,ST,64,80,68,73,32,79
Elseid Hysaj,RB,79,51,68,75,78,74
Gernot Trauner,CB,74,63,68,69,78,91
Pape Abou Cissé,CB,83,38,47,49,79,90
Ianis Hagi,RF,86,75,77,81,42,74
Viktor Kovalenko,CAM,81,80,78,79,65,78
Mathías Olivera,LB,81,56,75,73,80,78
João Félix,CF,82,80,74,81,40,70
Dominik Szoboszlai,CAM,86,78,81,85,43,71
Diego Rico,LB,80,64,77,75,80,80
Leigh Griffiths,ST,85,81,72,77,30,76
Jonathan David,ST,87,80,71,81,31,67
Fabian Frei,CM,71,77,81,79,79,80
Saïd Benrahma,LW,85,80,81,83,41,56
Anselmo,CDM,73,70,71,72,79,84
Florian Niederlechner,ST,76,81,64,76,40,82
Jean-Pierre Nsame,ST,83,81,55,77,32,79
Victor Osimhen,ST,89,80,68,76,42,82
Alex Král,CDM,81,75,74,80,76,83
Julian Weigl,CDM,61,47,75,76,78,66
Rouwen Hennings,ST,71,83,68,73,45,83
Camillo Ciano,ST,85,81,79,83,33,68
Andreas Cornelius,ST,70,81,61,72,46,84
Adama Traoré,RWB,97,71,68,85,40,81
Ollie Watkins,ST,87,78,74,79,49,67
Islam Slimani,ST,57,79,73,73,50,84
Tiémoué Bakayoko,CDM,66,48,69,74,79,85
Nathan Aké,CB,75,53,70,72,81,77
Antunes,LB,75,69,76,76,77,72
Ignacio Piatti,LW,73,81,74,84,55,75
Steven Nzonzi,CDM,42,55,71,69,79,86
Fedor Smolov,ST,86,81,70,76,32,73
Krzysztof Piątek,ST,76,80,53,73,38,71
Danny Rose,LB,77,62,74,79,80,75
Ricardo Rodríguez,LB,70,67,79,76,78,74
Marcus Thuram,ST,84,80,70,80,48,80
Kevin Vogt,CB,73,57,71,67,80,79
Odriozola,RB,89,53,71,76,77,69
Mattia Caldara,CB,64,34,46,63,83,74
Wayne Rooney,ST,64,81,80,76,56,76
Javier Mascherano,CDM,66,53,72,69,79,75
João Félix,CF,82,80,74,81,40,70
Rúben Dias,CB,64,38,50,60,81,83
Odriozola,RB,89,53,71,76,77,69
Mario Hermoso,CB,79,49,72,71,79,77
Ferland Mendy,LB,89,64,73,79,75,81
Moussa Marega,ST,88,79,63,65,41,90
Eric Bailly,CB,76,42,58,63,79,80
Joe Gomez,CB,81,30,64,68,79,76
Krzysztof Piątek,ST,76,80,53,73,38,71
Harry Winks,CM,70,58,77,83,71,66
Mattia Caldara,CB,64,34,46,63,83,74
Ante Rebić,ST,88,80,70,78,39,81
Tiémoué Bakayoko,CDM,66,48,69,74,79,85
Youri Tielemans,CM,63,78,82,78,68,67
Keita Baldé,RM,91,76,72,83,29,69
Joaquín Correa,CF,84,75,75,84,39,67
Iván Marcone,CDM,55,58,73,79,75,83
Moussa Dembélé,ST,82,77,61,76,30,81
Marcel Halstenberg,LB,69,66,72,72,80,80
Juan Fernando Quintero,CAM,73,77,81,83,37,50
Nathan Aké,CB,75,53,70,72,81,77
Gabriel,CM,63,74,77,79,76,83
Hakan Çalhanoğlu,LW,67,75,82,83,59,58
Leandro Paredes,CM,71,67,81,79,72,74
Bernard,LM,87,69,76,85,38,44
Bernat,LB,82,61,78,85,74,66
